"AnganwadiTable 19: Out of Private Mothers’or Tuition Std I-II : Learning levels Std III-V : Learning levelsBalwadi school school Reading"
"% Children % Children % Children % Children % Mothers % Children % Children % Children % Children % Children % Children(Age 3-4) (Age: 6-14) (Age: 6-14) (Std (Age: 17-55) (Std I-II) (Std I-II) (Std I-II) (Std III-V) (Std III-V) (Std III-V)Districts in out in IV-VIII) who who who CAN who CAN who who who CANanganwadi of private attending CAN READ CAN  READ RECOGNIZE READ CAN READ CAN DO READor school school tuition letters, NUMBERS LETTERS  or Level 1 SUBTRACTION sentencespre-school classes words or 1 to 9 more in (Std 1 Text) or more in ENGLISHmore or more ENGLISH or more"
Bagalkot 98.7 2.3 13.0 8.3 37.4 83.4 81.0 38.8 63.7 29.0 7.4
Bangalore 93.2 1.4 47.9 37.8 70.1 87.5 92.7 79.0 66.1 57.7 34.9
Bangalore Rural 100.0 1.3 16.7 16.8 77.3 98.3 85.7 64.1 64.6 72.6 14.7
Belgaum 99.4 1.5 18.5 5.1 46.7 85.3 84.3 34.6 66.0 39.3 9.2
Bellary 88.3 12.3 11.9 6.9 30.4 82.8 79.1 41.9 44.7 29.8 6.8
Bidar 100.0 1.6 18.7 18.6 47.1 78.9 80.4 46.0 40.9 34.2 6.6
Bijapur 82.3 4.0 16.5 19.0 43.0 81.9 74.9 50.0 65.1 51.3 8.6
Chamaraj Nagar 95.0 2.0 12.2 2.7 67.8 91.7 86.7 18.8 78.5 48.8 2.5
Chikmagalur 89.0 2.0 20.4 8.5 62.5 95.5 90.9 61.9 72.2 46.2 14.9
Chitradurga 85.3 1.4 1.8 13.3 77.5 83.8 83.2 63.5 72.6 54.6 10.4
Dakshin Kannada 85.4 0.9 30.0 4.2 77.9 95.1 96.5 51.1 82.6 59.3 15.4
Davanagere 96.6 2.9 21.0 7.1 80.0 84.7 86.6 60.5 59.3 37.8 7.3
Dharwad 91.5 2.7 9.7 8.4 46.1 76.9 79.3 43.9 63.0 36.6 6.2
Gadag 94.1 3.1 13.4 9.0 63.5 84.0 81.4 45.8 64.2 50.0 7.8
Gulbarga 77.7 8.0 14.7 9.6 29.0 69.5 70.1 23.9 48.4 22.9 5.0
Hassan 93.7 0.1 21.5 6.2 60.7 90.9 88.1 43.2 69.3 50.0 7.3
Haveri 94.3 3.4 12.3 8.9 79.9 85.7 85.3 57.1 58.3 38.1 11.0
Kodagu 100.0 1.3 26.0 4.7 67.9 91.3 95.7 55.0 84.7 58.9 19.5
Kolar 100.0 1.4 21.9 12.6 77.6 92.8 88.2 45.5 59.2 53.9 7.3
Koppal 89.0 5.4 15.6 5.5 35.5 77.4 75.2 35.0 41.5 19.7 6.9
Mandya 92.1 2.0 24.7 15.0 58.0 94.3 89.3 75.4 71.7 65.0 16.6
Mysore 92.0 2.0 11.7 12.7 83.2 82.7 82.7 57.9 71.9 48.5 16.2
Raichur 72.7 15.8 6.4 7.1 15.3 76.7 69.4 23.2 37.0 29.3 3.1
Shimoga 87.6 1.2 17.1 5.8 64.1 90.5 92.0 52.3 81.7 45.7 11.5
Tumkur 97.5 1.1 13.0 13.9 65.6 96.7 85.8 53.3 67.9 53.5 13.5
Udupi 88.8 0.0 30.1 4.6 82.5 93.0 92.9 62.8 86.4 68.2 23.7
Uttar Kannada 97.2 0.1 4.6 2.2 65.0 98.0 96.6 31.7 84.3 80.3 9.6
"Total 92.1 3.2 16.8 10.1 56.9 85.7 83.3 45.7 64.0 46.0 10.3"
