District,% Children (Age 3-4) in anganwadi or Pre-school,% Children (Age: 6-14) out of school,% Children (Age: 6-14) in private school,% Children (Std IV-VIII) attending tuition classes,% Mothers (Age: 17-55) who CAN READ,"% Children (Std I-II) who CAN READ letters, words or more ",% Children (Std I-II) who CAN RECOGNIZE NUMBERS 1 to 9 or more ,% Children (Std I-II) who CAN READ LETTERS or more in ENGLISH,% Children (Std III-V) who CAN READ Level 1 (Std 1 Text) or more,% Children (Std III-V) who CAN DO SUBTRACTION or more,% Children (Std III-V) who CAN READ sentences in ENGLISH
Bagalkot,98.7,2.3,13,8.3,37.4,83.4,81,38.8,63.7,29,7.4
Bangalore,93.2,1.4,47.9,37.8,70.1,87.5,92.7,79,66.1,57.7,34.9
Bangalore Rural,100,1.3,16.7,16.8,77.3,98.3,85.7,64.1,64.6,72.6,14.7
Belgaum,99.4,1.5,18.5,5.1,46.7,85.3,84.3,34.6,66,39.3,9.2
Bellary,88.3,12.3,11.9,6.9,30.4,82.8,79.1,41.9,44.7,29.8,6.8
Bidar,100,1.6,18.7,18.6,47.1,78.9,80.4,46,40.9,34.2,6.6
Bijapur,82.3,4,16.5,19,43,81.9,74.9,50,65.1,51.3,8.6
Chamaraj Nagar,95,2,12.2,2.7,67.8,91.7,86.7,18.8,78.5,48.8,2.5
Chikmagalur,89,2,20.4,8.5,62.5,95.5,90.9,61.9,72.2,46.2,14.9
Chitradurga,85.3,1.4,1.8,13.3,77.5,83.8,83.2,63.5,72.6,54.6,10.4
Dakshin Kannada,85.4,0.9,30,4.2,77.9,95.1,96.5,51.1,82.6,59.3,15.4
Davanagere,96.6,2.9,21,7.1,80,84.7,86.6,60.5,59.3,37.8,7.3
Dharwad,91.5,2.7,9.7,8.4,46.1,76.9,79.3,43.9,63,36.6,6.2
Gadag,94.1,3.1,13.4,9,63.5,84,81.4,45.8,64.2,50,7.8
Gulbarga,77.7,8,14.7,9.6,29,69.5,70.1,23.9,48.4,22.9,5
Hassan,93.7,0.1,21.5,6.2,60.7,90.9,88.1,43.2,69.3,50,7.3
Haveri,94.3,3.4,12.3,8.9,79.9,85.7,85.3,57.1,58.3,38.1,11
Kodagu,100,1.3,26,4.7,67.9,91.3,95.7,55,84.7,58.9,19.5
Kolar,100,1.4,21.9,12.6,77.6,92.8,88.2,45.5,59.2,53.9,7.3
Koppal,89,5.4,15.6,5.5,35.5,77.4,75.2,35,41.5,19.7,6.9
Mandya,92.1,2,24.7,15,58,94.3,89.3,75.4,71.7,65,16.6
Mysore,92,2,11.7,12.7,83.2,82.7,82.7,57.9,71.9,48.5,16.2
Raichur,72.7,15.8,6.4,7.1,15.3,76.7,69.4,23.2,37,29.3,3.1
Shimoga,87.6,1.2,17.1,5.8,64.1,90.5,92,52.3,81.7,45.7,11.5
Tumkur,97.5,1.1,13,13.9,65.6,96.7,85.8,53.3,67.9,53.5,13.5
Udupi,88.8,0,30.1,4.6,82.5,93,92.9,62.8,86.4,68.2,23.7
Uttar Kannada,97.2,0.1,4.6,2.2,65,98,96.6,31.7,84.3,80.3,9.6
Total ,92.1,3.2,16.8,10.1,56.9,85.7,83.3,45.7,64,46,10.3
