District,% Children (Age 3-4) in anganwadi or pre-school,% Children (Age: 6-14) out of school,% Children (Age: 6-14) in private school,% Children (Std IV-VIII) attending paid tuition classes,% Children (Std I-II) who CAN READ letters or more,% Children (Std I-II) who CAN RECOGNIZE NUMBERS 1 to 9 or more,% Children (Std III-V) who CAN READ Level 1 (Std 1 Text) or more,% Children (Std III-V) who CAN DO SUBTRACTION or more,% Children (Std V-VIII) answering both questions correctly on Everyday calculations regarding Menu,% Children (Std V-VIII) answering both questions correctly on Everyday calculations regarding Calendar,% Children (Std V-VIII) answering both questions correctly on Everyday calculations regarding Area,% Children (Std V-VIII) answering both questions correctly on Everyday calculations regarding Estimation
Bagalkot,93.2,3.2,14.6,4.1,78.9,83.7,,,37.1,22.2,12.3,23.2
Bangalore,82.2,1,55.3,29,93.4,93.3,60.9,31.9,42.9,45.1,18.8,58.5
Bangalore Rural,99,0.8,18,12.6,87.2,85.3,65.5,49.8,76.4,53.8,37.9,21.5
Belgaum,93.7,2.5,23.4,6.1,86.9,84.7,75.2,79.4,36.5,47.8,14.5,56
Bellary,100,9.5,16.1,14.4,79.4,87.3,48,42.7,44.7,33.7,27.9,33.2
Bidar,91.6,2.4,26.7,12.4,81.9,80.3,48.5,33.2,75.8,67.3,51.1,63
Bijapur,81.1,2.1,19.3,8.5,81.3,78.5,53.5,31,62.3,36.1,13.2,21.6
Chamaraj Nagar,94.6,2.1,22.8,5.4,94.8,94,70.8,53.5,79.5,58.6,66.7,29.7
Chikmagalur,95.4,1.4,17.5,4.3,95.5,90.3,76.3,33.3,78.2,58,30,36.9
Chitradurga,100,2.1,10.2,18.6,95.5,93.3,67.5,54.1,79.6,69.6,59.7,58.6
Dakshin Kannada,97.7,1,39.6,3.6,98.8,98.2,47.4,61.4,51.5,66.3,29.1,66.2
Davanagere,87.5,2.2,19.1,6.7,78.2,76.3,86.6,60.7,46.8,33.9,12.6,26.1
Dharwad,94.7,2.2,9.5,6.1,87.7,82.7,53.9,36.1,54,37.6,20.2,34.9
Gadag,95.2,4,13.6,10.3,81.8,80.7,59.2,37.5,66.7,48.3,32.2,44.8
Gulbarga,79.1,9.2,7.2,8.6,67.4,75.5,54,42.8,51.2,24.3,8.8,33.2
Hassan,97.8,1.5,18.4,7.1,93.6,85.1,36.9,18.7,55,53.1,86.8,34.2
Haveri,98.9,3,19.7,8.4,70.5,74.7,74.1,50.6,61.1,41.5,26.6,39.8
Kodagu,90.3,0.9,32.5,9.3,97.7,97.7,50.7,32.7,42,36.5,52.3,55.4
Kolar,94.4,1.7,21.1,8.7,87.3,84.6,86.6,58.1,66.9,63.9,54.2,54.7
Koppal,90.9,4.2,17.9,7.5,84.4,78.9,43.3,40.2,37.9,22.2,11.8,24.3
Mandya,94.6,3.4,28.6,6.8,92.1,88.1,47.8,23.1,59,39.9,15.9,32.1
Mysore,91.2,1.6,20.5,7.9,88,88,64.1,27.2,40.9,28.8,12,36.4
Raichur,100,11,10.2,2.6,69.1,69.1,46.4,34.4,53.2,31.6,11.7,34.9
Shimoga,91.8,1.8,17.4,5.4,96.1,95.3,31.9,12.2,81.2,74.7,89.4,83.4
Tumkur,96.1,1.4,23,19.9,88,94.1,77.5,56.7,54.6,27.2,14.1,21.1
Udupi,100,1.7,42.7,6.9,92.2,93.8,54.7,48.9,49.4,58.3,31.1,60.4
Uttar Kannada,100,0.1,3.3,0.4,94.2,93.2,88,73.2,85.2,67.6,13.3,10.4
Total,93.2,3.1,20,8.7,85.6,85.2,87.9,84.6,57.9,46.7,26.8,39.7
,,,,,,,59.6,44.5,,,,
